content,score,Label
driver terbaik,5,Positif
Supir nya pada pemalas,1,Negatif
sangat sangat membantu,5,Positif
god job,5,Positif
mantap driver nya,5,Positif
memuaskan,5,Positif
bgus,5,Positif
pas,5,Positif
Mantap,5,Positif
"ini saya mau login tidak bisa , kode otp login nya tidak dikirim-kirim...",2,Negatif
nice,5,Positif
drivernya ramah,5,Positif
"keren, beneran kerennn",5,Positif
"Hati2 argo maxim sekarng berubah,buat para penumpang jika driver belum datang dan ada notif driver sudah sampai langsung anda cancel karena argo berubah ada argo tambahan.. Permainan argo hati2",1,Negatif
nyaman dan rama,5,Positif
pelayanan bagus..,5,Positif
ok,4,Positif
sangat baik,5,Positif
penjemputan tempat waktu,5,Positif
terima kasih pak supie nya baik,5,Positif
terima kasih,5,Positif
Sngat mantap juga naik maximğŸ‘,5,Positif
"tau gaaa capenyaa menunggu pas perut lagi laperrr, tolong diperbanyak pengemudi yaa",1,Negatif
top,5,Positif
"Pengemudi: Abdi Negara Simorangkir dengan Motorcycle, warna putih, nopol BP3984MD. Selamat menikmati perjalanan!",5,Positif
titik lokasi tidak terdeteksi jadinya pilih yang terdekat,4,Positif
sangat ramah,5,Positif
baik,5,Positif
mangau mantap bangau,5,Positif
"aman , nyaman , bersih",3,
udah 2x instal maxim dan udah 2x juga aku uninstal maxim. instal yg kedua di kira maxim ada perubahan dari maps nya ternyata sama aja. alamat yg udh ada di google maps tidak muncul di maxim. maxim tidak mau berkembang seperti aplikasi ojol yg lain. ğŸ‘,1,Negatif
"nice, even badmood",5,Positif
Bagus,4,Positif
memuaskan,5,Positif
"apk nya udah bagus kak, tapi mohon di tambahin untuk mengirim pesan je sesama pengguna dong kakk",4,Positif
mempermudah perjalanan dan sangat murah,5,Positif
baik,5,Positif
Cepat dan baik tanggapannya,5,Positif
makasih banyak pak,5,Positif
ramah banget driver nya dan asik juga,5,Positif
"maxim makin lama makin gajelas ya , aku udah setengah jam yg lalu order , gadapet dapet pengantar makanan nya , segera diperbaiki lah , gimana kalo lagi kepepet laper",3,
Max food nyağŸ‘,1,Negatif
oke,5,Positif
Kenapa lama sekali mencari pengemudi,1,Negatif
sangat bagus,5,Positif
ok,5,Positif
ramah abangnya,5,Positif
keren,5,Positif
terimakasih supirnya baik dan sangat ramah,5,Positif
Myrah dan cepat layanannya,5,Positif
bagus,5,Positif
argo murah sangat membantu terima kasih,5,Positif
cepet dan respon,5,Positif
"sangat cepat dan mudah ,",5,Positif
ramah dan mantap,5,Positif
Driver sopan ramah dan baik,5,Positif
maps kurang bagus..jangan diinstal ini..,1,Negatif
enak sekali drever nya . makasih maxim,5,Positif
harga murah meriah,5,Positif
pelayanan OK banget,5,Positif
baik ramah,5,Positif
mantap,5,Positif
ramah,5,Positif
Driver banyak tidak profesional,1,Negatif
sukses selalu,5,Positif
mantap,5,Positif
App gaje,1,Negatif
driverx ramah,5,Positif
Good,5,Positif
Maxim is the best...,5,Positif
Thank's for all ...,5,Positif
Ok,5,Positif
baik,5,Positif
sangat baik,5,Positif
kereen,5,Positif
baik,5,Positif
Memang biayanya murah tetapi pelayanan di Jambi sangat jelek kami pesan Maxim dari tadi tapi nggak diambil-ambil sama Maxim nya sangat jelek jelek sekali pelayanannya sangat jelek,1,Negatif
pelayanan sangat ramah dan baik...,5,Positif
harga murah tapi tidak murahan,5,Positif
Mantap,5,Positif
driver bgus and rama:),5,Positif
babpp yaa baikkk + asik,5,Positif
pelayanan bagus,5,Positif
perfect,5,Positif
baik,5,Positif
tiba dgn tepat wktu,5,Positif
drive baik,5,Positif
terima kasih pak,5,Positif
"mobilnya bersih, pengemudi ramah",5,Positif
"ngangge jas hujan pak,hawatos kangge kesehatan ğŸ˜ŠğŸ˜ŠğŸ™ğŸ™",5,Positif
sangat sopan,5,Positif
Bagus pelayananya,5,Positif
sangat baik,5,Positif
makasih,5,Positif
baik',5,Positif
terima kasih pak,5,Positif
pengebudinya sangat cekatan dan sopan,5,Positif
sangat baik,5,Positif
kadang banyak driver g tau jln ngeselin,5,Positif
sangat baik,4,Positif
sangat memuaskan,5,Positif
baik,4,Positif
ramah dan komunikasi nya baik terimakasih semoga rejeki nya lancar selalu ğŸ˜ŠğŸ˜ŠğŸ™ğŸ™ğŸ™ğŸ¤²ğŸ¤²ğŸ¤²,5,Positif
cepat gesit,5,Positif
Aplikasi terbaik inii kereeen,5,Positif
memuaskan,5,Positif
pelayanan memuaskn,5,Positif
mantul dan murah,5,Positif
good job,5,Positif
"Males driver mobil pada pilih kasih pada Mandang harga, orang mau balik ga DapetÂ² terus di tolak,mana lagi hujan, tolong keluhan saya ini disampaikan pada pihak mengemudi",1,Negatif
baik,5,Positif
Saya coba dulu 2 bintang,2,Negatif
"Kurang lengkap untuk titik lokasi tujuan, apalagi diperumahan.",3,
Pencarian titik lokasi sangat buruk,1,Negatif
"pelayanan bagus, sopir ramah",5,Positif
siiipp,5,Positif
oke,5,Positif
Titik jemput ngacoh ni,1,Negatif
mobil ny kurang bersih,4,Positif
"Mungkin bisa jadi malfunction aplikasi, harus banyak diperbaiki. Saya order tapi connect ke 2 driver berbeda, dengan tujuan dan titik jemput yg sama. Dan ujung2nya saya bayar keduanya karena bentuk tanggungjawab. Kasian driver sudah jemput dari titik jauh. Atau memang seperti itu cara mainnya? Yg jelas saya kecewa. Bukan karena uangnya, tapi karena aplikasinya yg bisa merugikan banyak orang. Pertama nyoba tapi langsung jadi last order, langsung uninstall.",1,Negatif
pengemudiny mexim ny ramah. pokok ny ok lah mexim sangat ok bagi saya,5,Positif
bagus,5,Positif
terima kasih,5,Positif
baik,5,Positif
driver ramah,5,Positif
ok,5,Positif
"Saya pesan makanan, diaplikasinya, driver udah sampai kenyataannya belum. Drivernya dichat ditelepon gak respon, dibatalkan juga gak bisa. Di aplikasi ada sos, pas ditelpon katanya ini layanan bencana, terus ngapain ditaruh disitu sos klo gak ada hubungannya. Tolong diperbaiki!",2,Negatif
TOP BGT,5,Positif
pelayanan baik ramah,5,Positif
makasih pak udah dianter ujan ujan .. semoga berkah iya pak .. sehat selalu pak,5,Positif
"Terima Kasih Abang Sangat Menyenangkan dan Sangat Baik, Pelayanan sangat bagus dan tepat waktu, Bismillah Abangnya penumpangnya ramai dan banyak rejeki sabar ya Abang driver, bismillah ramai saya kasih bintang sempurna semangat",5,Positif
"selalu terpercaya apk ini,, goodjop",5,Positif
Maxim adalah aplikasi yang cocok untuk mengantar pesanan makanan,5,Positif
mantap,5,Positif
Terimakasih bapakğŸ˜ŠğŸ™,5,Positif
"Humble drivernya, mantap",5,Positif
drivef sholeh dan tamah,5,Positif
ok,5,Positif
Hoax katanya tadi di Cfd dapet uang 100 k kalau download maxim,1,Negatif
cepat baik dan ramah,4,Positif
good,5,Positif
terimakasih maxim,5,Positif
Terima kasih,5,Positif
trimakasih,5,Positif
bagus dan sopan,5,Positif
ihg,5,Positif
bagus cpt,5,Positif
"playanan ny baik,sabar banget.. lancar terus rezeky nya",5,Positif
"Durasi Lu Kurang Lama. Membahayakan DRIVER ...PAHAM... Uninstal aj. Jgn mentang2 pacarnya orang kantor maxim, ga mau byr waktu tunggu Tp lagaknya sok juragan, di tungguin malah di lama lamain dtgnya. Mangnya bensin & pulsa yg byr kantor maxim ? Waktu tunggu cuma fitur adu domba aj antara penumpang dg driver",1,Negatif
"terbaik, tercepat dan ter aman",5,Positif
Memuaskan,5,Positif
maps nya blm diperbarui,4,Positif
pelayanan memuaskan,5,Positif
very good,5,Positif
mantap nyaman dingin ber ac,5,Positif
puas,5,Positif
driver baik ramah juga ğŸ‘ğŸ¼ğŸ‘ğŸ¼,4,Positif
bagus,5,Positif
ok,5,Positif
baik,5,Positif
terbaik,5,Positif
kecepatan pemjemputan baik,5,Positif
sangat ğŸ‘,5,Positif
kereennnn,5,Positif
bagus,5,Positif
cepat,4,Positif
Pelayanan nya sangat bagus,5,Positif
pelayanan baik,5,Positif
pengemudi nya sangat sempurna,5,Positif
oke,5,Positif
ramah baik,5,Positif
baik,5,Positif
bagus,5,Positif
Terima kasih banyak,5,Positif
sangat memuaskan,5,Positif
Baik,5,Positif
mantap pelayanannya cpt,5,Positif
"sat set, cpt datangnya cepat pula nyampainyağŸ‘ğŸ‘",5,Positif
makin banyak orderanya bang,5,Positif
"Bagus tp utk fitur food perlu dibenahi, beri pilihan batal tp tdk bs batal, apa lg pas makanan lama ga di konfirmasi sm toko ataupun driver, jd buang waktu",3,
ajh padahal di apk nya order nya dibatalkan masih takirim juga itu makanan mana makanan nya dikirim dialamat yang salah bajinban bikin emosi yang becus sedikit Napa bikin orang emosi betul,1,Negatif
sangat puas,5,Positif
apk burik.. ga bisa masuk ke apk.. nyesel download apk ini buang2 kuota aja,1,Negatif
cepat kirim,5,Positif
sangat baik,5,Positif
mksh om..,5,Positif
"Tolong mapnya di update lg lau bisa pake tampilan satelit biar lebih detail dan akurat krn setiap pesanan masih susah dpt titik jemputnya, harus dikasih catatan detail lg utk jemputan. Lau tdk kadang harus di kensel sampe 3x Kedepannya hrs lebih baik lg utk tampilan map nya ğŸ‘",5,Positif
Driver teliti dan hati hati,5,Positif
supirnya ramah,5,Positif
mantap tau jln trimmsğŸ‘,5,Positif
lebih terjangkau dan dari yang lain,5,Positif
Murah meriah,5,Positif
driver ok ok ok top,5,Positif
Masyallah mntp,5,Positif
sangat membatu,5,Positif
saya sangat puas aman tepat waktu terima kasih ...,5,Positif
massih bro,5,Positif
"sangat baik, Terima kasih.",5,Positif
terimakasih,5,Positif
"penjemputan tepat waktu,mobil bersih,pengemudi ramah",5,Positif
pelayanan sangat baik,5,Positif
sangat baik,5,Positif
aplikasinya bagusğŸ¥°ğŸ¥°ğŸ¥°ğŸ¥°,5,Positif
bapaknya baik..maaf titik mlenceng dr lokasi krn susah sinyal..trimakasih banyak pak..smoga lancar rejekinya,5,Positif
God jobs,4,Positif
ramah,5,Positif
bagus pelayanan nya,5,Positif
good,5,Positif
"Orangnya dimana, jemputnya dimana . Orang tuh sibuk, jan buang2 waktu orang lah!!",1,Negatif
"terimakasih pak, memuaskan",5,Positif
driver mantap Dan ok,5,Positif
oke banget,5,Positif
mantap,5,Positif
terimakasih banyak mas sampean pancen wong apik,5,Positif
ramah dan baik,5,Positif
mudah dn cepat,5,Positif
grgr maxim temen saya balik duluan ke RS tapi ga mati,1,Negatif
tepat waktu,5,Positif
bagus dan membantu,5,Positif
Alhamdulillah nyaman,5,Positif
bagus,5,Positif
Td ada seles apa itu.. Bilang kalo dftar maxsim dpt 100rb. Penipu wkwkkw,1,Negatif
baik,5,Positif
"Driver ramah, sopan, mengendarai dengan sangat profesional, driver maxim terbaik, sangat memuaskan, sangat memgutamakan keselamatan, kenyamanan, kepuasan customer (tengkyu, terimakasih, matur suwun, haturnuhun, arigatogozaimasu, Kamsamida, Khob jai na meung)ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™",5,Positif
makasih aa nexs order lagiğŸ™,5,Positif
baik sopan dan tepat waktu,5,Positif
bagus,5,Positif
"Terimakasih pak, sehat2 dan lancar rejeki nya.",5,Positif
Drivernya ramah...sukses selalu..Aamiin,5,Positif
cepat tanggap,5,Positif
mantap,5,Positif
manttao lahh,5,Positif
mantap pelayanannya ğŸ˜Š,5,Positif
terbaik,5,Positif
terimakasih sangat terjangkau dan tertolong Alhamdulillah syukurlah,5,Positif
"Tolong diperbarui masa mau batalin pesen makanan,karna salah pilih ga bisa pilihan cuma kembali dan suruh rubah pesanan,giliran sudah rubah pesanan,hasilnya malah order makanan 2x dengan kurir berbeda,ini namanya cari untung dalam kesempitan ,gak kaya gojek, ya percuma ngapain ada tombol pembatalan tapi gak bisa buat batalin pesanan yg salah.",2,Negatif
sukses selaluğŸ˜‡,5,Positif
mantap drivernya,5,Positif
thx pak,5,Positif
sudah baik tapi kadang banyak jalan yg belum masuk di aplikasi ini,5,Positif
driper nya baik,5,Positif
Maxim sangat membantu,5,Positif
sangat baik,5,Positif
ok,5,Positif
mantep,5,Positif
abg maximnya sabar,5,Positif
driver maxim terbaik... recomended ğŸ™,5,Positif
"hatur nuhun pak mengemudi dengan baik sehingga perjalanan kami nyaman, moga banyak orderan'y. amin",5,Positif
driver ramah,5,Positif
ok,4,Positif
baik,5,Positif
pelayanan memuaskan,5,Positif
Ok,5,Positif
"Mau pesen makanan gaaada yg mau ambil orderannya, ini gak sekali dua kali, ini tiap mau coba pesen bakal sama gaada yg mau padahal drivernya ada loh yg udah di depan depan kuliner tapi tetap aja gamau, ni para drivernya pada kebelet naik haji apa gimana sih kerja jadi driver kok gak niat bgt",1,Negatif
ramah orangnya,5,Positif
oke cepat,5,Positif
"pengemudi ramah, dan cepat sampai",5,Positif
"Drivernya ramah,sopan& bisa bayar tranfer k rek atm ataupun k ovo,gopay,dana dll bagi driver yg punya aj.bisa kasih kemudahan bagi pelanggan yg tidak punya uang cash.trus ad juga jasa cleaning service berpengalaman,omega lebih murah,asuransi kecelakaan juga ad& bisa reservasi pesanan untuk jam& hari yg kita jadwalkan sendiri bagi yg susah dapet driver dll.1 aplikasi fitur pelayanan banyak.klau no plat beda jangan mau untuk mencegah tindak kejahatan.karena driver gojek,grabike dll sdh gabung.",5,Positif
Sekke diağŸ˜‚ğŸ˜¤,5,Positif
brevernya bagussssss top,5,Positif
"Kendaraannya rapih, driver nya ramah",5,Positif
Datangnya cepat...sopir ramah,5,Positif
Good,5,Positif
Setiap pengemudi selalu banyak tingkah dan alasan2 aneh yang buat kita customer capek nunggu dan jadi emosi,3,
sangat baik,5,Positif
ok,5,Positif
Sangat Bagus,5,Positif
ğŸ‘ğŸ‘ğŸ‘,5,Positif
sangat bagus,4,Positif
good job boy,5,Positif
mantap xx,5,Positif
lokasi kurang detail,4,Positif
Terima kasih,5,Positif
di aplokasi tertera ada bonus tapi g bisa tik membayar harus membayar tunai ke driver,5,Positif
sangat puas,5,Positif
simple,5,Positif
Lebih mahal,1,Negatif
Terima kasih kasih pakğŸ™ğŸ½,5,Positif
bagus pelayanannya,5,Positif
mantap,5,Positif
mantap,5,Positif
Semoga ke depannya bisa top up melalui Bank2. Tanpa melalui aplikasi lain,5,Positif
oke banget terimakasih,5,Positif
mantap terima kasih banyak bang,5,Positif
puas,5,Positif
Tolong d bantu knapa saya tidak bisa mendaftar akun maxim!,2,Negatif
ok banget,5,Positif
mantap cepat penjemputan.. walaupun di terpa hujan... smg skss sllu..,5,Positif
orang ny sopan,5,Positif
ok baik,5,Positif
Alamat masih kurang lengkap dan pas sama titik posisi ny trs kalau pesen maximcar susah dapet gk ada yg nyangkut pdhl banyak driver nya,3,
"saya suka bila pengemudi drivernya ramah dan sopan siap mengantar penumpang dengan selamat,mohon maaf coba untuk mobil klo udah ditambah jgn nawar lagi saya butuh anda butuh",2,Negatif
Oke murah banget saya suka ğŸ‘ğŸ¼,5,Positif
ramah,5,Positif
sangat ramahğŸ˜‰ğŸ˜‰,5,Positif
sangat puas,5,Positif
semangattttt...meski hujanÂ²anğŸ˜ğŸ‘,5,Positif
bagus,5,Positif
"Paraaaaaaaaahhhhhhhh,,,,,, Masak cuma berhenti di Indomaret gak ada 2menit kena cas 30rb...cas nya hampir sama dengan tarif awal yg harusnya 40,500jadi 70,500...parah sangat.. padahal yg sebelah tidak kena cas...parah...wis kapok go maxim",1,Negatif
Sangat ramah dan tepat waktu,5,Positif
good,5,Positif
Driver terbaik,5,Positif
Oke,5,Positif
terimakasih datang dengan cepat,5,Positif
Baru juga Download .. malah bikin kecewa padahal agak murah di sini..udah 2 kali order malah di batalin tanpa sebab draver ya ..,1,Negatif
mantap,5,Positif
"terimakasih mas nya baik & jujur sekali ğŸ™ğŸ™,,tadi mama saya salah kasih uang ongkir,,di kira uang 10rb,, ternyata uang 100rb,,mas nya gercep langsung balikin,,terima kasih mas,baik hati & juga jujur,semoga Allah membalas kebaikan mas,,dan bnyak rezeky nya ya Allah ğŸ¤²ğŸ™ğŸ™",5,Positif
semoga sukses terus orderan nya.. rezeki ngalir terus.. Aamin,5,Positif
sepanjang perjalanan orangnya sangat baik ramahh sm ibu dan anak,5,Positif
sangat baik,5,Positif
mantap,4,Positif
baik,5,Positif
"baru x coba, Alhamdulillah lancar...",5,Positif
raham tamah,5,Positif
Pelayanan baik dan driver sabar menjemput tepat di titik penjemputan,5,Positif
enak,5,Positif
aman ojeknya percayağŸ‘ğŸ‘ğŸ‘,5,Positif
ok,5,Positif
bagus,5,Positif
ok,5,Positif
ok,5,Positif
driver nya ramah,5,Positif
maksh kaaa,5,Positif
driver ramah ğŸ‘ğŸ‘ğŸ‘,5,Positif
"tarif maxim lumayan murah dibanding yang lain,hanya saja akurasi lokasi kurang pas.",4,Positif
Banyak driver yang 1 hp 2 akun tolong cepat berlakukan vermuk di seluruh Indonesia agar lebih adil,1,Negatif
bapakny baik dan sabarğŸ˜Š,5,Positif
seru kurir ya juga ramah,5,Positif
Thank you,5,Positif
god job,5,Positif
mantap,5,Positif
mantap pelayanan,5,Positif
baik ramah sekali,5,Positif
makasih banyak,5,Positif
Good,5,Positif
"driver ramah, tepat waktu, pokoknya puas pelayanannya",5,Positif
luar biasa baik,5,Positif
ramah dan nyaman,5,Positif
susah cancelnya... kasihan driver udah jalan.... tolong diperbaiki saya ingin cancel bukan rubah pesanan,1,Negatif
ok,5,Positif
memudahkan dalam perjalanan jika tidak ada motor,4,Positif
cepat jemput nya cepat sampai nya,5,Positif
Driver nya ramah .pokoke mantaf,5,Positif
good job,5,Positif
cepat responya... sopan drivernya,5,Positif
pengemudi yang ramah,5,Positif
baik dan sopan,5,Positif
"Order telah dipenuhi oleh: Kamarudin Tomayahu dengan Trike, warna merah, nopol DM2033HZ. saya ingin rute besok mengajak Kamarudin bgmnaiman cara menghubungi lnya lagi Terima kasih atas perjalanan Anda!",5,Positif
ramah,5,Positif
good,5,Positif
Cantika,5,Positif
Rata2 pengemudi tidak mau dibayar non tunai.. diluncurkan apk kaspro.. tapi tak bisa digunakan.. saya mau tarik kaspro saya.. gimana caranya.. dan pengemudi seenaknya menetapkan tarif parkir ..,3,
oke,5,Positif
bagus,5,Positif
semuanya ğŸ‘,5,Positif
thanks pak,5,Positif
trimakasih pak soper pengantaran selamat sampai tujuan,5,Positif
"good pengemudi nya, terima kasih",5,Positif
sangat ramah:),5,Positif
"super ramah, baik, sopan.",5,Positif
Maxim ga jelas mau batalin makanan aja ga bisa dari tadi aneh,2,Negatif
ramah,5,Positif
terima kasih sdh diterima barangnya,5,Positif
tepat waktu.,5,Positif
Good Job,5,Positif
bapaknya ramah,5,Positif
driver baik mobil wangi,5,Positif
terbaik,5,Positif
cepat dan nyaman senang kalo naik maxim,5,Positif
"Untuk alamat penjemputan dan tujuan belum sempurna, tolong diperbaiki,layanan yang lain sudah baik",3,
ok,5,Positif
orang nya baik dan sopan,5,Positif
abg sangat ramah terimakasih sdh mengantar kami,4,Positif
bapak pengendara yg ramah dan amanah.,5,Positif
baik sekali,5,Positif
makasih pak,5,Positif
"sejauh ini semua driver ramah dan baik, penjemputan dan pengantaran sangat baik ... semoga bisa dipertahankan layanannya ... terima kasih",5,Positif
Ok sipp,5,Positif
oke bgt,5,Positif
"Order telah dipenuhi oleh: Wawan Hapdiyanto dengan Motorcycle, warna putih, nopol KT2035IK. Terima kasih atas perjalanan Anda!",5,Positif
sangat baik,5,Positif
mantaaaappp..,5,Positif
Aplikasi Maxim sekarang jelek sekali!! Order lamaaaaa sekali cari pelaksana padahal jarak dekat. Nanti di percepat dengan ongkir yg TDK masuk akal baru ada pelaksananya. Kalau begini terus bakal banyak yg uninstall aplikasi ini!!! Tolong diperbaiki..,2,Negatif
Untuk ruang penyimpanan memang kecil pas coba buat minta kode verifikasi SBG log in kok gak muncul ya?,2,Negatif
soprnya ramah. memuaskan naik Maxim nya,5,Positif
terimakasih,5,Positif
terbaik,5,Positif
aq sih yes,5,Positif
sangat baik,5,Positif
cepat simpel dan mudah,5,Positif
naik Maxim ...jauh lebih hemat,5,Positif
Min tolong bantu ID 39307986 saya aktifin ya saya udah beli jaket dan helm,5,Positif
bagus dan berkualitasss,5,Positif
"ok, mantap",5,Positif
Bagus sangat membantu,5,Positif
Lemot banget apknya,1,Negatif
driver sering membatalkan pesanan,3,
pelayanan yg sangat memuaskan,5,Positif
pelayanan yg ramah dan murah,5,Positif
pengemudi sangat ramah serta murah senyum,5,Positif
gesit padat n jelas,5,Positif
Sopan,5,Positif
sangat baik,5,Positif
ok,5,Positif
perdana pke maxim ternyata ramah banget,5,Positif
menyenangkan,5,Positif
pelayanan yg sangat baik,5,Positif
Titik tujuan masih banyak kekurangan tolong di jadikan perhatian,2,Negatif
ğŸ‘ğŸ‘,5,Positif
sopir luar biasa naikan bonusnya,5,Positif
sesua lokasi,5,Positif
sangat baik,5,Positif
alhamdulilah lancar makasih drive ya ramah ğŸ¥°ğŸ¥°,5,Positif
pelayanan nya baik,5,Positif
terima kasih,5,Positif
"driver tepat waktu, ramah dan sopan",5,Positif
gercepğŸ‘,5,Positif
"Naikan ongkosnya ketika hujan lebat xim kasihan driver, ngotak dikit lah kalo punya otak",1,Negatif
mba.aku bisa minta nomer mas.nya.buat nanti order ke bandara lg,5,Positif
ramah sekali,5,Positif
cepat dan tanggap,5,Positif
pelayanan bagus,5,Positif
mantaaap...ramah dan cepat sampai tujuan,5,Positif
tepat waktu dan baik,5,Positif
bagus,5,Positif
your the best brow! >33.,5,Positif
"NurSyaiq dengan Daihatsu Xenia, warna putih, nopol KT1267MW akan tiba dalam 1 menit.",3,
Pelayanan sangat bagus,5,Positif
trims,5,Positif
tepat waktu,5,Positif
murmer mobil bersih bersih,5,Positif
josss,5,Positif
"Jawabannya by sistem, sama ,,",3,
aplikasi apaan ini gue pengenya pesen 1 tapi malah tambah terus,1,Negatif
pelayanan oke,5,Positif
tepat waktu dan paket aman sampai tujuan,5,Positif
baik drivernya,5,Positif
makasih maxim..memudahkan kami kirim barang dengan cepat dan hemat,5,Positif
pelayanan nya bagus ramah,5,Positif
rapih dan ramah,4,Positif
mantab,5,Positif
ramah dan tepat waktu,5,Positif
terimakasih,5,Positif
baik,5,Positif
bgus,5,Positif
terimakasih,5,Positif
baik,5,Positif
ğŸ‘,5,Positif
"ok, driver nya sabar dan baik..",5,Positif
orang baik,5,Positif
pengalaman pertama kali naik Maxim Alhamdulillah saya sangat puas,5,Positif
sangat membantu,5,Positif
nice bangettğŸ¤—,5,Positif
oke,4,Positif
Murah,5,Positif
membantu perjalanan,5,Positif
bagus,5,Positif
good job,5,Positif
sangat baik,5,Positif
driver mantap sopan,5,Positif
baik sekali,5,Positif
"baik pelayanannya, drivernya ramah",5,Positif
Susah banget mau order food.nya.. Gagal mulu ..,3,
sopir sopan dan membawa mobil dengan kecepatan sedang. sangat baik untuk keselamatan penumpang ğŸ‘ğŸ‘ğŸ‘,5,Positif
Harus dikinggatkan lagi,4,Positif
terbaik,5,Positif
pelayanan baik,5,Positif
propesional,5,Positif
cepat respon..nya..baik...dn ramah,5,Positif
Lama dapet driver,1,Negatif
semoga banyak orderanya,5,Positif
driver sabar sopan,5,Positif
drivernya rama dan baik,5,Positif
tarif terjangkau sangat bermanfaat untuk perjalanan dekat dan jauh,5,Positif
terima kasih,5,Positif
Kenapa di maxim food kalau mau dibatalkan tidak ada opsi membatalnya malah dicari driver lain. Sampe akhirnya saya meminta driver yg membatalkan baru bisa. ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»,1,Negatif
tepat waktu penjemputan,5,Positif
baik,5,Positif
pengantaran tepat waktuğŸ‘,5,Positif
sangat baik dan ramah ğŸ™‚ğŸ˜…,5,Positif
semangat bapak,5,Positif
ok,4,Positif
bagus,5,Positif
good,5,Positif
mantap,5,Positif
cepat dan hematğŸ™,5,Positif
mantap,5,Positif
cepat dan komunikatif... recomended,5,Positif
mantaffff,5,Positif
paling murah dan ramah2 kurirnya,5,Positif
ok,5,Positif
Ok,5,Positif
ini,5,Positif
Ok,5,Positif
danke...pelayanan yg baik,5,Positif
"Sejauh ini saya pakai aplikasi ini, rataÂ² pengemudinya kurang ramah, suka marahÂ², dimanaÂ² pengemudi nunggu bentar gk apaÂ², ini malah marahÂ² bilangnya panas, kalo gk mau panas gk usah kerjaa! Tidur aja. Tolong lebih ramah dan care lagi sama penumpang!",2,Negatif
mks om dah antar anak saya sekolah,5,Positif
mantap,5,Positif
mantap,5,Positif
sangat puas,5,Positif
